episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
0,0,-1.2,400,0,0,1,0.997,0.0,0.0,0
1,0,-1.2,400,0,0,1,0.994009,0.0,0.0,0
2,0,-1.2,400,0,0,1,0.991027,0.20183,2.42395,201
3,0,-1.2,400,0,0,1,0.988054,0.015609,2.7529,601
4,0,-1.2,400,0,0,1,0.98509,0.004619,2.88943,1001
5,0,-1.2,400,0,0,1,0.982134,0.004411,2.96488,1401
6,0,-1.2,400,0,0,1,0.979188,0.004705,3.0122,1801
7,0,-1.2,400,0,0,1,0.97625,0.004424,3.07001,2201
8,0,-1.2,400,0,0,1,0.973322,0.005275,3.10055,2601
9,0,-1.2,400,0,0,1,0.970402,0.006048,3.0917,3001
10,0,-1.2,400,0,0,1,0.967491,0.00625,3.06455,3401
11,0,-1.2,400,0,0,1,0.964588,0.006101,3.04981,3801
12,0,-1.2,400,0,0,1,0.961694,0.005659,3.03221,4201
13,0,-1.2,400,0,0,1,0.958809,0.00619,3.00235,4601
14,0,-1.2,400,0,0,1,0.955933,0.005297,2.97342,5001
15,0,-1.2,400,0,0,1,0.953065,0.00481,2.93878,5401
16,0,-1.2,400,0,0,1,0.950206,0.005706,2.90217,5801
17,0,-1.2,400,0,0,1,0.947355,0.005386,2.86244,6201
18,0,-1.2,400,0,0,1,0.944513,0.006078,2.82297,6601
19,0,-1.2,400,0,0,1,0.94168,0.004802,2.78544,7001
20,0,-1.2,400,0,0,1,0.938855,0.005363,2.7447,7401
21,0,-1.2,400,0,0,1,0.936038,0.005113,2.70419,7801
22,0,-1.2,400,0,0,1,0.93323,0.00537,2.66531,8201
23,0,-1.2,400,0,0,1,0.93043,0.006354,2.62768,8601
24,0,-1.2,400,0,0,1,0.927639,0.004616,2.59283,9001
25,0,-1.2,400,0,0,1,0.924856,0.005292,2.56017,9401
26,0,-1.2,400,0,0,1,0.922081,0.004284,2.53225,9801
27,0,-1.2,400,0,0,1,0.919315,0.004851,2.50757,10201
28,0,-1.2,400,0,0,1,0.916557,0.004972,2.48572,10601
29,0,-1.2,400,0,0,1,0.913808,0.004811,2.46568,11001
30,0,-1.2,400,0,0,1,0.911066,0.005242,2.44319,11401
31,0,-1.2,400,0,0,1,0.908333,0.005231,2.43064,11801
32,0,-1.2,400,0,0,1,0.905608,0.005956,2.40839,12201
33,0,-1.2,400,0,0,1,0.902891,0.005931,2.40372,12601
34,0,-1.2,400,0,0,1,0.900182,0.005113,2.4031,13001
35,0,-1.2,400,0,0,1,0.897482,0.005661,2.42545,13401
36,0,-1.2,400,0,0,1,0.894789,0.006169,2.45168,13801
37,0,-1.2,400,0,0,1,0.892105,0.005672,2.49098,14201
38,0,-1.2,400,0,0,1,0.889429,0.006792,2.5207,14601
39,0,-1.2,400,0,0,1,0.88676,0.006095,2.55213,15001
40,0,-1.2,400,0,0,1,0.8841,0.006513,2.58958,15401
41,0,-1.2,400,0,0,1,0.881448,0.006324,2.63115,15801
42,0,-1.2,400,0,0,1,0.878804,0.005689,2.68857,16201
43,0,-1.2,400,0,0,1,0.876167,0.006749,2.74055,16601
44,0,-1.2,400,0,0,1,0.873539,0.006686,2.79951,17001
45,0,-1.2,400,0,0,1,0.870918,0.007303,2.86462,17401
46,0,-1.2,400,0,0,1,0.868305,0.007555,2.91895,17801
47,0,-1.2,400,0,0,1,0.8657,0.006045,2.96519,18201
48,0,-1.2,400,0,0,1,0.863103,0.00705,2.98597,18601
49,0,-1.2,400,0,0,1,0.860514,0.006798,3.00064,19001
50,0,-1.2,400,0,0,1,0.857932,0.006513,2.99941,19401
51,0,-1.2,400,0,0,1,0.855359,0.006518,2.9978,19801
52,0,-1.2,400,0,0,1,0.852793,0.006768,2.99124,20201
53,0,-1.2,400,0,0,1,0.850234,0.006046,2.99329,20601
54,0,-1.2,400,0,0,1,0.847683,0.00689,2.99289,21001
55,0,-1.2,400,0,0,1,0.84514,0.006062,2.99491,21401
56,0,-1.2,400,0,0,1,0.842605,0.007237,3.00329,21801
57,0,-1.2,400,0,0,1,0.840077,0.008451,3.01827,22201
58,0,-1.2,400,0,0,1,0.837557,0.008202,3.03925,22601
59,0,-1.2,400,0,0,1,0.835044,0.00749,3.06656,23001
60,0,-1.2,400,0,0,1,0.832539,0.007988,3.09914,23401
61,0,-1.2,400,0,0,1,0.830042,0.007947,3.15044,23801
62,0,-1.2,400,0,0,1,0.827551,0.008955,3.19013,24201
