episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
0,0,-1.2,400,0,0,1,0.997,0.0,0.0,0
1,0,-1.2,400,0,0,1,0.994009,0.0,0.0,0
2,0,-1.2,400,0,0,1,0.991027,0.285342,-0.11598,201
3,0,-1.2,400,0,0,1,0.988054,0.052228,0.04095,601
4,0,-1.2,400,0,0,1,0.98509,0.002263,0.09229,1001
5,0,-1.2,400,0,0,1,0.982134,0.00061,0.13913,1401
6,0,-1.2,400,0,0,1,0.979188,0.000289,0.17623,1801
7,0,-1.2,400,0,0,1,0.97625,0.000214,0.20126,2201
8,0,-1.2,400,0,0,1,0.973322,0.000184,0.22152,2601
9,0,-1.2,400,0,0,1,0.970402,0.000178,0.2532,3001
10,0,-1.2,400,0,0,1,0.967491,0.000198,0.28298,3401
11,0,-1.2,400,0,0,1,0.964588,0.000239,0.30171,3801
12,0,-1.2,400,0,0,1,0.961694,0.000345,0.33359,4201
13,0,-1.2,400,0,0,1,0.958809,0.00035,0.36855,4601
14,0,-1.2,400,0,0,1,0.955933,0.000378,0.40071,5001
15,0,-1.2,400,0,0,1,0.953065,0.000412,0.42585,5401
16,0,-1.2,400,0,0,1,0.950206,0.000431,0.45154,5801
17,0,-1.2,400,0,0,1,0.947355,0.00048,0.48021,6201
18,0,-1.2,400,0,0,1,0.944513,0.000588,0.50954,6601
19,0,-1.2,400,0,0,1,0.94168,0.00052,0.5402,7001
20,0,-1.2,400,0,0,1,0.938855,0.000643,0.56687,7401
21,0,-1.2,400,0,0,1,0.936038,0.000733,0.59593,7801
22,0,-1.2,400,0,0,1,0.93323,0.000747,0.62699,8201
23,0,-1.2,400,0,0,1,0.93043,0.001,0.65229,8601
24,0,-1.2,400,0,0,1,0.927639,0.000731,0.68478,9001
25,0,-1.2,400,0,0,1,0.924856,0.001133,0.72316,9401
26,0,-1.2,400,0,0,1,0.922081,0.000859,0.76173,9801
27,0,-1.2,400,0,0,1,0.919315,0.001072,0.80417,10201
28,0,-1.2,400,0,0,1,0.916557,0.001216,0.84554,10601
29,0,-1.2,400,0,0,1,0.913808,0.001295,0.87249,11001
30,0,-1.2,400,0,0,1,0.911066,0.001552,0.89937,11401
31,0,-1.2,400,0,0,1,0.908333,0.001553,0.94211,11801
32,0,-1.2,400,0,0,1,0.905608,0.0018,0.96753,12201
33,0,-1.2,400,0,0,1,0.902891,0.00172,0.99778,12601
34,0,-1.2,400,0,0,1,0.900182,0.001657,1.03824,13001
35,0,-1.2,400,0,0,1,0.897482,0.002087,1.07644,13401
36,0,-1.2,400,0,0,1,0.894789,0.002129,1.10858,13801
37,0,-1.2,400,0,0,1,0.892105,0.001995,1.16102,14201
38,0,-1.2,400,0,0,1,0.889429,0.002581,1.20559,14601
39,0,-1.2,400,0,0,1,0.88676,0.002706,1.24901,15001
40,0,-1.2,400,0,0,1,0.8841,0.002834,1.28981,15401
41,0,-1.2,400,0,0,1,0.881448,0.002736,1.33123,15801
42,0,-1.2,400,0,0,1,0.878804,0.002917,1.38191,16201
43,0,-1.2,400,0,0,1,0.876167,0.003378,1.43023,16601
44,0,-1.2,400,0,0,1,0.873539,0.003498,1.47369,17001
45,0,-1.2,400,0,0,1,0.870918,0.003629,1.51665,17401
46,0,-1.2,400,0,0,1,0.868305,0.00445,1.55803,17801
47,0,-1.2,400,0,0,1,0.8657,0.003414,1.60574,18201
48,0,-1.2,400,0,0,1,0.863103,0.004444,1.65045,18601
49,0,-1.2,400,0,0,1,0.860514,0.004613,1.71076,19001
50,0,-1.2,400,0,0,1,0.857932,0.004354,1.7635,19401
51,0,-1.2,400,0,0,1,0.855359,0.004633,1.82549,19801
52,0,-1.2,400,0,0,1,0.852793,0.005339,1.89703,20201
53,0,-1.2,400,0,0,1,0.850234,0.005088,1.97637,20601
54,0,-1.2,400,0,0,1,0.847683,0.005935,2.04251,21001
55,0,-1.2,400,0,0,1,0.84514,0.005142,2.12001,21401
56,0,-1.2,400,0,0,1,0.842605,0.005783,2.19107,21801
57,0,-1.2,400,0,0,1,0.840077,0.006934,2.24644,22201
58,0,-1.2,400,0,0,1,0.837557,0.007326,2.31047,22601
59,0,-1.2,400,0,0,1,0.835044,0.007179,2.40787,23001
60,0,-1.2,400,0,0,1,0.832539,0.008208,2.50651,23401
61,0,-1.2,400,0,0,1,0.830042,0.007777,2.60087,23801
62,0,-1.2,400,0,0,1,0.827551,0.008676,2.69129,24201
