episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
0,0,-1.2,400,0,0,1,0.997,0.0,0.0,0
1,0,-1.2,400,0,0,1,0.994009,0.0,0.0,0
2,0,-1.2,400,0,0,1,0.991027,0.172767,-0.60409,201
3,0,-1.2,400,0,0,1,0.988054,0.007325,-0.46014,601
4,0,-1.2,400,0,0,1,0.98509,0.000531,-0.38023,1001
5,0,-1.2,400,0,0,1,0.982134,0.000234,-0.30653,1401
6,0,-1.2,400,0,0,1,0.979188,0.000173,-0.24698,1801
7,0,-1.2,400,0,0,1,0.97625,0.000122,-0.19906,2201
8,0,-1.2,400,0,0,1,0.973322,0.000101,-0.15474,2601
9,0,-1.2,400,0,0,1,0.970402,8.9e-05,-0.10654,3001
10,0,-1.2,400,0,0,1,0.967491,8.4e-05,-0.05662,3401
11,0,-1.2,400,0,0,1,0.964588,0.00015,-0.01492,3801
12,0,-1.2,400,0,0,1,0.961694,0.000232,0.02676,4201
13,0,-1.2,400,0,0,1,0.958809,0.000166,0.0573,4601
14,0,-1.2,400,0,0,1,0.955933,0.000183,0.08227,5001
15,0,-1.2,400,0,0,1,0.953065,0.000178,0.10109,5401
16,0,-1.2,400,0,0,1,0.950206,0.000204,0.11904,5801
17,0,-1.2,400,0,0,1,0.947355,0.000229,0.1361,6201
18,0,-1.2,400,0,0,1,0.944513,0.000263,0.15147,6601
19,0,-1.2,400,0,0,1,0.94168,0.000271,0.16818,7001
20,0,-1.2,400,0,0,1,0.938855,0.0003,0.18803,7401
21,0,-1.2,400,0,0,1,0.936038,0.000427,0.2136,7801
22,0,-1.2,400,0,0,1,0.93323,0.000637,0.24207,8201
23,0,-1.2,400,0,0,1,0.93043,0.000588,0.2685,8601
24,0,-1.2,400,0,0,1,0.927639,0.000673,0.31379,9001
25,0,-1.2,400,0,0,1,0.924856,0.000836,0.36207,9401
26,0,-1.2,400,0,0,1,0.922081,0.000801,0.40962,9801
27,0,-1.2,400,0,0,1,0.919315,0.001076,0.45945,10201
28,0,-1.2,400,0,0,1,0.916557,0.000927,0.53347,10601
29,0,-1.2,400,0,0,1,0.913808,0.00105,0.61749,11001
30,0,-1.2,400,0,0,1,0.911066,0.001232,0.69948,11401
31,0,-1.2,400,0,0,1,0.908333,0.001384,0.79167,11801
32,0,-1.2,400,0,0,1,0.905608,0.001845,0.87796,12201
33,0,-1.2,400,0,0,1,0.902891,0.001889,0.96196,12601
34,0,-1.2,400,0,0,1,0.900182,0.001765,1.03425,13001
35,0,-1.2,400,0,0,1,0.897482,0.002236,1.10302,13401
36,0,-1.2,400,0,0,1,0.894789,0.002386,1.16057,13801
37,0,-1.2,400,0,0,1,0.892105,0.002139,1.21299,14201
38,0,-1.2,400,0,0,1,0.889429,0.002738,1.26709,14601
39,0,-1.2,400,0,0,1,0.88676,0.002983,1.32069,15001
40,0,-1.2,400,0,0,1,0.8841,0.003255,1.37105,15401
41,0,-1.2,400,0,0,1,0.881448,0.003371,1.42362,15801
42,0,-1.2,400,0,0,1,0.878804,0.00335,1.47795,16201
43,0,-1.2,400,0,0,1,0.876167,0.004344,1.56105,16601
44,0,-1.2,400,0,0,1,0.873539,0.004621,1.63872,17001
45,0,-1.2,400,0,0,1,0.870918,0.005832,1.75097,17401
46,0,-1.2,400,0,0,1,0.868305,0.005619,1.88316,17801
47,0,-1.2,400,0,0,1,0.8657,0.005539,2.10454,18201
48,0,-1.2,400,0,0,1,0.863103,0.006946,2.3992,18601
49,0,-1.2,400,0,0,1,0.860514,0.007083,2.72971,19001
50,0,-1.2,400,0,0,1,0.857932,0.007409,3.16343,19401
51,0,-1.2,400,0,0,1,0.855359,0.009971,3.65394,19801
52,0,-1.2,400,0,0,1,0.852793,0.010845,4.18843,20201
53,0,-1.2,400,0,0,1,0.850234,0.009133,4.66249,20601
54,0,-1.2,400,0,0,1,0.847683,0.012706,5.13322,21001
55,0,-1.2,400,0,0,1,0.84514,0.0127,5.63957,21401
56,0,-1.2,400,0,0,1,0.842605,0.014572,6.14844,21801
57,0,-1.2,400,0,0,1,0.840077,0.016746,6.61449,22201
58,0,-1.2,400,0,0,1,0.837557,0.017062,7.08071,22601
59,0,-1.2,400,0,0,1,0.835044,0.015278,7.46394,23001
60,0,-1.2,400,0,0,1,0.832539,0.018333,7.84566,23401
61,0,-1.2,400,0,0,1,0.830042,0.018114,8.10202,23801
62,0,-1.2,400,0,0,1,0.827551,0.022158,8.46194,24201
